League,teamHome,teamAway,matchDate,location,stage,Scor
Liga 1,FC Brasov,Pandurii Târgu Jiu,2011-05-05T14:00,Stadionul Silviu Ploeșteanu,Etapa 33,3:2
Liga 1,FC Vaslui,Sportul Studentesc,2011-05-05T16:00,Stadionul Municipal Vaslui,Etapa 33,4:2
Liga 1,Otelul Galati,Poli Timisoara,2011-05-05T18:00,Stadionul Oțelul,Etapa 33,2:1
Liga 1,Gloria Bistrita,FC U Craiova 1948,2011-05-06T16:00,Stadionul Gloria,Etapa 33,1:1
Liga 1,FCSB,FCM Târgu Mureș,2011-05-06T18:00,Stadionul Steaua,Etapa 33,1:0
Liga 1,Dinamo Bucuresti,Victoria Branesti,2011-05-06T19:45,Stadionul Dinamo,Etapa 33,3:1
Liga 1,FCM Târgu Mureș,Universitatea Cluj,2011-05-01T15:00,Stadionul Trans-Sil,Etapa 34,0:2
Liga 1,Pandurii Târgu Jiu,FC Vaslui,2011-05-01T15:00,Stadionul Municipal Tudor Vladimirescu,Etapa 34,0:1
Liga 1,Rapid Bucuresti,FC Brasov,2011-05-01T15:00,Stadionul Giulești-Valentin Stănescu,Etapa 34,1:0
Liga 1,CFR Cluj,FCSB,2011-05-01T15:00,Stadionul Dr. Constantin Rădulescu,Etapa 34,1:3
Liga 1,Victoria Branesti,Gloria Bistrita,2011-05-01T15:00,Stadionul Victoria Brănești,Etapa 34,2:0
Liga 1,FC U Craiova 1948,Gaz Metan Medias,2011-05-01T15:00,Stadionul Ion Oblemenco,Etapa 34,1:2
Liga 1,Poli Timisoara,Dinamo Bucuresti,2011-05-01T15:00,Stadionul Dan Păltinișanu,Etapa 34,4:1
Liga 1,Astra Giurgiu,Otelul Galati,2011-05-01T15:00,Stadionul Astra,Etapa 34,0:1
Liga 1,Sportul Studentesc,Unirea Urziceni,2011-05-01T15:00,Stadionul Regie,Etapa 34,5:1
